NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,22,,,
"Ítalo Pedrosa Gomes Martins","MARTINS, I.P.G.","2","",,,,,,,,22,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,23,,,
"Luiz Gonzaga de Mello Belluzzo","BELLUZZO, Luiz Gonzaga de Mello","2","",,,,,,,,23,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,24,,,
"Ítalo Pedrosa Gomes Martins","MARTINS, I.P.G.","2","",,,,,,,,24,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,25,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,,,,,25,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,26,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,,,,,,26,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,27,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,,,,,,27,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,28,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,29,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,30,,,
"Daniela Magalhães Prates","PRATES, D. M.","1","",,,,,,,,31,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","2","4629153708503919",,,,,,,,31,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,32,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,0,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,,0,
"Alexis Saludjian","SALUDJIAN, Alexis","10","",,,,,,,,,,0,
"Fernando Ferrari Filho","FERRARI FILHO, Fernando","11","",,,,,,,,,,0,
"Fernando Sarti","SARTI, Fernando","12","",,,,,,,,,,0,
"Mariano Francisco Laplane","LAPLANE, Mariano Francisco","13","",,,,,,,,,,0,
"Simone Silva de Deos","DEOS, Simone Silva de","14","",,,,,,,,,,0,
"Claudio Hamilton M dos Santos","SANTOS, Claudio Hamilton M dos","15","",,,,,,,,,,0,
"Dominique Plihon","PLIHON, Dominique","16","",,,,,,,,,,0,
"Jacques Mazier","MAZIER, Jacques","17","",,,,,,,,,,0,
"Robert Guttmann","GUTTMANN, Robert","18","",,,,,,,,,,0,
"Edwin Le Heron","HERON, Edwin Le","19","",,,,,,,,,,0,
"andre martins biancarelli","biancarelli, andré martins","2","",,,,,,,,,,0,
"Ricardo de Medeiros Carneiro","CARNEIRO, Ricardo de Medeiros","3","",,,,,,,,,,0,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","4","0203332327068087",,,,,,,,,,0,
"Maria Cristina Penido de Freitas","FREITAS, Maria Cristina Penido de","5","4428674657578467",,,,,,,,,,0,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","6","4989183279921217",,,,,,,,,,0,
"Antonio Carlos Macedo e Silva","SILVA, Antonio Carlos Macedo e","7","",,,,,,,,,,0,
"Franklin Leon Peres Serrano","SERRANO, Franklin Leon Peres","8","",,,,,,,,,,0,
"Luiz Fernando Rodrigues de Paula","PAULA, Luiz Fernando Rodrigues de","9","",,,,,,,,,,0,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,,,0
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,,,1
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,,,2
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,,,3
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,,,4
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,,,,5
