DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id
"","Received: 25 November 2014 / Accepted: 29 January 2016 
This article is published with open access at Springerlink.com",,53,,,,,,,,,,,,
"","artigo aceito em 27/abril/2016
publicado em 22/8/2016",,54,,,,,,,,,,,,
"artigo aceito para publicação, em junho/2016
p. 7-20","",,55,,,,,,,,,,,,
"v. 16, p. 4-14, 2013.","JETS special issue on ?Innovative technologies for the seamless integration of formal and informal learning?
Guest Editor(s): Patrizia Ghislandi, Maria Grazia Ierardi, Tommaso Leo and Luca Spalazzi",,57,,,,,,,,,,,,
"Livro com co-produção da FAPESP","",,,5,,,,,,,,,,,
"LNCS 4663 Lecture Notes in Computer Science 4663
11th IFIP TC 13 International Conference","",,,6,,,,,,,,,,,
"versão digital do livro disponível em http://www.nied.unicamp.br/xounicamp/

ISBN da versão digital: 978 85 88833 08 1","",,,11,,,,,,,,,,,
"Capítulo 7 no JAI/SBC2005
publicado nos Anais do XXV Congresso da Sociedade Brasileira de Computação
(oito trabalhos selecionados de 44 submetidos: 18% de aceitos)","",,,,11,,,,,,,,,,
"ISBN 978-1-4020-5836-3
Não se trata de anais de conferência.","",,,,13,,,,,,,,,,
"73p.","",,,,18,,,,,,,,,,
"co-autoria de orientado de mestrado e ex-orientado de doutorado.
capítulo de livro,
extended selected Papers from ICEIS 2010","",,,,20,,,,,,,,,,
"co-autoria de aluno de mestrado e ex-aluno de doutorado.
capítulo de livro
versão estendida de paper selecionado do ICEIS 2010.","",,,,21,,,,,,,,,,
"Springer-Verlag LNBIP Series Book","In: R. Zhang; et al.. (Org.). Seeing Social Software Analysis and Evaluation through the Lenses of Culture. 
102 ed. Berlin: Springer-Verlag, 2012",,,,22,,,,,,,,,,
"versão digital em http://www.nied.unicamp.br/xounicamp/

9788588833081 [isbn]","",,,,23,,,,,,,,,,
"versão digital em http://www.nied.unicamp.br/xounicamp/
isbn: 9788588833081","",,,,24,,,,,,,,,,
"versão digial em http://www.nied.unicamp.br/xounicamp/
isbn: 9788588833081","",,,,25,,,,,,,,,,
"versão digital em:http://www.nied.unicamp.br/xounicamp/
isbn: 9788588833081","",,,,26,,,,,,,,,,
"versão digital em http://www.nied.unicamp.br/xounicamp/

isbn: 9788588833081","",,,,27,,,,,,,,,,
"versão digital em http://www.nied.unicamp.br/xounicamp/
isbn: 9788588833081","",,,,28,,,,,,,,,,
"versão digital em: http://www.nied.unicamp.br/xounicamp/
isbn: 9788588833081","",,,,29,,,,,,,,,,
