PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PATENTE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Web","pragmatic web","interaction design","","","",,,,164,,,,,,,,,,,,,,,,,,,,,,
"Game-based Design","interaction design","","","","",,,,165,,,,,,,,,,,,,,,,,,,,,,
"e-Gov","Desafios da Computação","Tailorable Interfaces","","","",,,,166,,,,,,,,,,,,,,,,,,,,,,
"Participatory Design","Semiótica Organizacional","Semiotic System","","","",,,,167,,,,,,,,,,,,,,,,,,,,,,
"TV digital interativa","gesture based interaction","","","","",,,,168,,,,,,,,,,,,,,,,,,,,,,
"redes sociais inclusivas","semantic search","","","","",,,,169,,,,,,,,,,,,,,,,,,,,,,
"flexible interface","Semiotics","","","","",,,,170,,,,,,,,,,,,,,,,,,,,,,
"inclusive social network","semantic search","","","","",,,,171,,,,,,,,,,,,,,,,,,,,,,
"social software","Design","","","","",,,,172,,,,,,,,,,,,,,,,,,,,,,
"social software","value-based design","","","","",,,,173,,,,,,,,,,,,,,,,,,,,,,
"Meta-comunicação","inclusive design","","","","",,,,174,,,,,,,,,,,,,,,,,,,,,,
"Communication","Design","","","","",,,,175,,,,,,,,,,,,,,,,,,,,,,
"accessibility","design universal","","","","",,,,176,,,,,,,,,,,,,,,,,,,,,,
"usability","Web Usage Mining","","","","",,,,177,,,,,,,,,,,,,,,,,,,,,,
"flexible interface","Design","","","","",,,,178,,,,,,,,,,,,,,,,,,,,,,
"Acessibilidade","design universal","Design process","Avaliação de Interfaces","","",,,,179,,,,,,,,,,,,,,,,,,,,,,
"social software","affective quality","","","","",,,,180,,,,,,,,,,,,,,,,,,,,,,
"semantic search","inclusive social network","Semiotic System","","","",,,,181,,,,,,,,,,,,,,,,,,,,,,
"Semiotics","Web","Ontology Chart","","","",,,,182,,,,,,,,,,,,,,,,,,,,,,
"Design","Semiotics","","","","",,,,183,,,,,,,,,,,,,,,,,,,,,,
"critical system","interaction design","","","","",,,,184,,,,,,,,,,,,,,,,,,,,,,
"social software","value-based design","","","","",,,,185,,,,,,,,,,,,,,,,,,,,,,
"social software","Web","","","","",,,,186,,,,,,,,,,,,,,,,,,,,,,
"human-computer interaction","Human-Computer Interface","","","","",,,,187,,,,,,,,,,,,,,,,,,,,,,
"Design","value-based design","","","","",,,,189,,,,,,,,,,,,,,,,,,,,,,
"design universal","inclusive social network","inclusive design","","","",,,,190,,,,,,,,,,,,,,,,,,,,,,
"Geographic Information System","Sistemas de Informação Geográfica","","","","",,,,191,,,,,,,,,,,,,,,,,,,,,,
"accessibility","social software","","","","",,,,192,,,,,,,,,,,,,,,,,,,,,,
"social software","Organisational Semiotics","","","","",,,,193,,,,,,,,,,,,,,,,,,,,,,
"Web","Ontology Chart","Semiotic System","","","",,,,194,,,,,,,,,,,,,,,,,,,,,,
"social software","Semiotics","","","","",,,,195,,,,,,,,,,,,,,,,,,,,,,
"affective quality","Interface","interaction design","","","",,,,196,,,,,,,,,,,,,,,,,,,,,,
"interactive digital TV","Participatory Practices","interaction design","","","",,,,197,,,,,,,,,,,,,,,,,,,,,,
"interactive digital TV","interfaces para dispositivos portáteis","Design","","","",,,,198,,,,,,,,,,,,,,,,,,,,,,
"Design","interaction design","pragmatic web","","","",,,,199,,,,,,,,,,,,,,,,,,,,,,
"Participatory Practices","Learning Environments","","","","",,,,200,,,,,,,,,,,,,,,,,,,,,,
"inclusive social network","inclusive design","semantic search","","","",,,,201,,,,,,,,,,,,,,,,,,,,,,
"inclusive social network","inclusive design","Semiotics","","","",,,,202,,,,,,,,,,,,,,,,,,,,,,
"Web","Semiotics","Ontology Chart","","","",,,,203,,,,,,,,,,,,,,,,,,,,,,
"Design","Children","Interface Design","","","",,,,204,,,,,,,,,,,,,,,,,,,,,,
"social software","value-based design","","","","",,,,205,,,,,,,,,,,,,,,,,,,,,,
"TV digital interativa","Usabilidade","cidadania","Brazil","","",,,,206,,,,,,,,,,,,,,,,,,,,,,
"Tailorable Interfaces","Software Development","","","","",,,,207,,,,,,,,,,,,,,,,,,,,,,
"informática na educação","interfaces para dispositivos portáteis","Learning Environments","","","",,,,208,,,,,,,,,,,,,,,,,,,,,,
"Jogos","learning environment","Design","","","",,,,209,,,,,,,,,,,,,,,,,,,,,,
"interfaces para dispositivos portáteis","learning environment","","","","",,,,210,,,,,,,,,,,,,,,,,,,,,,
"Tailorable Interfaces","System Design","human-computer interaction","","","",,,,211,,,,,,,,,,,,,,,,,,,,,,
"interaction design","gesture based interaction","","","","",,,,212,,,,,,,,,,,,,,,,,,,,,,
"affective quality","Energy Feedback Systems","Design","interaction design","Interface Design","",,,,213,,,,,,,,,,,,,,,,,,,,,,
"affective quality","Children","Design","","","",,,,214,,,,,,,,,,,,,,,,,,,,,,
"value-based design","cultural aspects in design","","","","",,,,215,,,,,,,,,,,,,,,,,,,,,,
"pragmatic web","Design","","","","",,,,216,,,,,,,,,,,,,,,,,,,,,,
"Semiotic System","visualization","Web","Web Usage Mining","","",,,,217,,,,,,,,,,,,,,,,,,,,,,
"affective quality","Educational Software Design","","","","",,,,218,,,,,,,,,,,,,,,,,,,,,,
"pragmatic web","Collaboration Analysis","","","","",,,,219,,,,,,,,,,,,,,,,,,,,,,
"cultural aspects in design","","","","","",,,,220,,,,,,,,,,,,,,,,,,,,,,
"accessibility","Universal Design","Web","","","",,,,221,,,,,,,,,,,,,,,,,,,,,,
