PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"sensor network","","","","","",,,,,,,,,6,,,,,,,,,,
"Annotations","","","","","",,,,,,,,,7,,,,,,,,,,
"Supply chains","","","","","",,,,,,,,,8,,,,,,,,,,
"GIS","","","","","",,,,,,,,,,0,,,,,,,,,
"Spatial databases","","","","","",,,,,,,,,,,0,,,,,,,,
"Versoes, Sistemas Geograficos","","","","","",,,,,,,,,,,,0,,,,,,,
"Visoes, Sistemas Geograficos","","","","","",,,,,,,,,,,,1,,,,,,,
"Restricoes de Integridade, Sistemas Geograficos","","","","","",,,,,,,,,,,,2,,,,,,,
"Sistemas Geograficos, Bancos de Dados Temporais","","","","","",,,,,,,,,,,,3,,,,,,,
"Sistemas Geograficos","","","","","",,,,,,,,,,,,4,,,,,,,
"Bancos de Dados, Restricoes","","","","","",,,,,,,,,,,,5,,,,,,,
"Banco de Dados, Sistema Temporal","","","","","",,,,,,,,,,,,6,,,,,,,
"Workflows","","","","","",,,,,,,,,,,,7,,,,,,,
"Bancos de Dados Temporais","","","","","",,,,,,,,,,,,8,,,,,,,
"Bibliotecas Digitais","","","","","",,,,,,,,,,,,9,,,,,,,
