NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRA-PRODUCAO-TECNICA_Id
"Tiago Luis Duarte Forti","FORTI, T. L. D.","1","9586074227742751",96,,,,,,,,,,,
"FARIAS,A.M. (Agnaldo Monteiro Farias)","Agnaldo Monteiro Farias","2","",96,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","3","7462096912445959",96,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","4","6051486998967925",96,,,,,,,,,,,
"LUCCI,P.C.A. (Paulo Cesar de Alvarenga Lucci)","Paulo Cesar de Alvarenga Lucci","5","",96,,,,,,,,,,,
"Gustavo Camargo Longhin","LONGHIN, G. C.","6","9121612523149859",96,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",97,,,,,,,,,,,
"(Paulo Cesar de Alvarenga Lucci","LUCCI, P. C. A.","2","5381087404504911",97,,,,,,,,,,,
"Denise de Siqueira","SIQUEIRA, D.","1","",98,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","2","6051486998967925",98,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",99,,,,,,,,,,,
"Denise de Siqueira","SIQUEIRA, D.","2","",99,,,,,,,,,,,
"Diogo Cecílio","CECILIO, D.","1","2594284000782489",100,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","2","6051486998967925",100,,,,,,,,,,,
"Francisco Antonio Menezes","MENEZES, F. A.","1","7334895542373360",101,,,,,,,,,,,
"Nathan Shauer","SHAUER, N.","2","5762871737832497",101,,,,,,,,,,,
