PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Francisco Alves","Música Popular","Indústria Fonográfica","Teatro de Revista","","",,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"Canto","Ensino","canção popular","Repertório","","",,,,,,,,,,,,,,,,,,,,,0,,,,,,,
"Canto","canto popular","Música","Ensino","","",,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Música","teledramaturgia","","","","",,,,,,,,,,,,,,,,,,,,,2,,,,,,,
"saxofone","música brasileira","canção popular","","","",,,,,,,,,,,,,,,,,,,,,3,,,,,,,
"canto popular","ensino musical","Análise do comportamento vocal","","","",,,,,,,,,,,,,,,,,,,,,4,,,,,,,
"Ensino","canto popular","universidade publica","","","",,,,,,,,,,,,,,,,,,,,,5,,,,,,,
"análise semiótica","comportamento vocal","canto popular","","","",,,,,,,,,,,,,,,,,,,,,6,,,,,,,
"Canto","Seconda Prattica","Bossa Nova","","","",,,,,,,,,,,,,,,,,,,,,7,,,,,,,
"canto popular","scat singing","Improvisação","","","",,,,,,,,,,,,,,,,,,,,,8,,,,,,,
"Gal Costa","Canto","comportamento vocal","","","",,,,,,,,,,,,,,,,,,,,,9,,,,,,,
"discussão de gênero","canto popular","industria cultiral","","","",,,,,,,,,,,,,,,,,,,,,10,,,,,,,
"Bossa Nova","Seconda Prattica","Música","","","",,,,,,,,,,,,,,,,,,,,,11,,,,,,,
"Performance","Artes da cena","Música e dramaturgia","","","",,,,,,,,,,,,,,,,,,,,,12,,,,,,,
"canto popular","Ensino","metodologia","","","",,,,,,,,,,,,,,,,,,,,,13,,,,,,,
"recital","canto popular","canção popular","","","",,,,,,,,,,,,,,,,,,,,,14,,,,,,,
"canto popular","discussão de gênero","canção e política","","","",,,,,,,,,,,,,,,,,,,,,15,,,,,,,
"canto popular","Ensino","Canção brasileira","","","",,,,,,,,,,,,,,,,,,,,,16,,,,,,,
"vanguarda paulista","Performance","estudos de gênero","Música Popular","","",,,,,,,,,,,,,,,,,,,,,17,,,,,,,
"Improvisação Vocal","scat singing","cognição","","","",,,,,,,,,,,,,,,,,,,,,18,,,,,,,
"Pratica Coral","Técnica Alexander","Educação Integral","","","",,,,,,,,,,,,,,,,,,,,,19,,,,,,,
"Artes","Música","","","","",,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Voz","Processos criativos","Ensino","","","",,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"canto popular","Educação Musical","Voz","","","",,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"canto popular","concurso público","","","","",,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"canção popular","concurso público","","","","",,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"Práticas Interpretativas","Expressão Vocal","","","","",,,,,,,,,,,,,,,,,,,,,,,3,,,,,
"contrabaixo","Música Popular","concurso público","","","",,,,,,,,,,,,,,,,,,,,,,,4,,,,,
"canto popular","Canto Lírico","Música","","","",,,,,,,,,,,,,,,,,,,,,,,5,,,,,
"canto poopular","Canto Lírico","vestibular","","","",,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Pós-graduação","Música","Canto","","","",,,,,,,,,,,,,,,,,,,,,,,7,,,,,
"vestibular","prova de aptidão","","","","",,,,,,,,,,,,,,,,,,,,,,,8,,,,,
"Música Popular","Unicamp","vestibular","","","",,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Música Popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Música Popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"canto popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,3,,,,
"canto popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,4,,,,
"canto popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,5,,,,
"canto popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,6,,,,
"canto popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,7,,,,
"canto popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,8,,,,
"canto popular","vestibular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,9,,,,
"canto popular","canção popular","Performance","","","",,,,,,,,,,,,,,,,,,,,,,,,10,,,,
"vestibular","canto popular","Unicamp","","","",,,,,,,,,,,,,,,,,,,,,,,,11,,,,
"canto popular","vanguarda paulista","","","","",,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"canto popular","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,2,,
"Improvisação Vocal","canto popular","Canção brasileira","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"canto popular","comportamento vocal","musica popular brasileira","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"canto popular","ensino técnico","voz popular","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,1
