NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"João G. Martines-Filho","MARTINES-FILHO, J. G.","5","",39,,,,,,
"Alexandre Gori Maia","Maia, A. G.","1","8284067987442342",40,,,,,,
"Gabriela S. Eusébio","EUSEBIO, G. S.","2","",40,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",40,,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","1","",41,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",41,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",42,,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","2","",42,,,,,,
"Fabiano Guasti Lima","LIMA, F. G.","3","",42,,,,,,
"Gabriela S. Eusébio","EUSEBIO, G. S.","1","",43,,,,,,
"Alexandre Gori Maia","Maia, A. G.","2","8284067987442342",43,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO LANNA FRANCO DA","3","",43,,,,,,
"Fabiano Guasti Lima","LIMA, F. G.","1","",44,,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","2","",44,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO L. F.","3","",44,,,,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","1","6178330814144839",45,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, RODRIGO LANNA FRANCO DA","2","",45,,,,,,
"HILDO MEIRELLES DE SOUZA FILHO","SOUZA FILHO, H. M.","3","3740950346967524",45,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,0,,,,,
"Joaquim Bento de Sousa Ferreira Filho","FERREIRA FILHO, J. B. S.","2","2464089587609552",,0,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,1,,,,,
"Geraldo Sant'Ana de Camargo Barros","BARROS, G. S. C.","2","8404786723177950",,1,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,2,,,,,
"Geraldo Sant'Ana de Camargo Barros","BARROS, G. S. C.","2","8404786723177950",,2,,,,,
"José Roberto Kassai","KASSAI, J. R.","1","8702514218064299",,3,,,,,
"Rafael Feltran Barbieri","BARBIERI, R. F.","2","",,3,,,,,
"Luiz Nelson Carvalho","CARVALHO, L. N.","3","5532594920933443",,3,,,,,
"Francisco Carlos B. Santos","SANTOS, F. C. B.","4","2824313950877049",,3,,,,,
"Alexandre Foschine","FOSCHINE, A.","5","",,3,,,,,
