NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,DEMAIS-TRABALHOS_Id
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",73,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",73,,,,,,,,,,,,,,,
"Alexander Vladimir Elguera Flores","FLORES, Alexander Vladimir Elguera","1","",74,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",74,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",74,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",75,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","2","5092857787801476",75,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",76,,,,,,,,,,,,,,,
"Alexander Vladimir Elguera","ELGUERA, Alexander Vladimir","2","",76,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",76,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",77,,,,,,,,,,,,,,,
