SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"340","Transient Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","Trabalho publicado em anais de eventos(Completo)","",5
"341","Harmonic Content and Estimation of Length Variation of Artificcially Generated Electrical Arc in Out- Door Experiments, EPEC 2011","Trabalho publicado em anais de eventos(Completo)","",5
"342","Attending Small Loads along a Half-Wavelength Transmission Line","Trabalho publicado em anais de eventos(Completo)","",5
"343","Current and Voltage Harmonic Content of Artificially Generated Electrical Arc in Out-Door Experiment","Trabalho publicado em anais de eventos(Completo)","",5
"256","Half-Wave Length Line Energization Case Test ? Proposition of a Real Test ; Single-phase autoreclosure studies considering a robust and reliable secondary arc model based on a gray-box model ; Single-Phase Auto-Reclosure Studies: Some Basic Aspects on Mai","Apresentação de trabalho(Congresso)","",6
"261","Comparative analysis of techniques for control of switching overvoltages during transmission lines energization?","Artigo publicado em periódicos(Completo)","",6
"272","MÉTODO PARA RELIGAMENTO TRIPOLAR RÁPIDO EM LINHAS DE TRANSMISSÃO COM COMPENSAÇÃO REATIVA EM DERIVAÇÃO","Produto Tecnológico(Outro)","",6
"278","Variação da Condutividade e Permissividade do Solo com a Freqüência: Influência na Admitância Transversal da Linha de Transmissão - Análise para Caso de um Único Condutor","Trabalho publicado em anais de eventos(Completo)","",6
"281","Conceitos Fundamentais da Transmissão em um Pouco mais de Meio Comprimento de Onda","Participações em eventos(Seminário)","",6
"284","Otimização Do Reator De Neutro Para Minimizar Corrente De Arco Secundário Através Da Resposta Sustentada De Sistema Elétrico Desequilibrado Utilizando Quadripolos Trifásicos","Trabalho publicado em anais de eventos(Completo)","",6
"287","Conteúdo Harmônico Da Corrente E Tensão De Arcos Elétricos Gerados Artificialmente Em Ambiente Não Confinado","Participações em eventos(Congresso)","",6
"302","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",6
"303","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","Trabalho publicado em anais de eventos(Completo)","",6
"312","Reducción de las Máximas Corrientes de Arco Secundario para Sistemas de Transmisión Típicos durante la Maniobra de Abertura Monopolar","Trabalho publicado em anais de eventos(Completo)","",6
"313","Influence of Transversal Parameters of a Transmission System on the Secondary Arc Current Reduction during SPAR","Trabalho publicado em anais de eventos(Completo)","",6
"314","Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",6
"315","Estimation of Length Variation of Artificially Generated Electrical Arc in Out-Door Experiment","Trabalho publicado em anais de eventos(Completo)","",6
"316","Transient Performance Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","Trabalho publicado em anais de eventos(Completo)","",6
"321","Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",6
"323","Real Time Digital Simulation to Performance Evaluation of an Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",6
"328","Analysis of the Energization Test of a 2600-km Long AC-Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",6
"339","A Comparison of Overvoltage Control Methods during Three-Phase Reclosing varying the Length of Shunt Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",6
"340","Transient Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","Trabalho publicado em anais de eventos(Completo)","",6
"341","Harmonic Content and Estimation of Length Variation of Artificcially Generated Electrical Arc in Out- Door Experiments, EPEC 2011","Trabalho publicado em anais de eventos(Completo)","",6
"342","Attending Small Loads along a Half-Wavelength Transmission Line","Trabalho publicado em anais de eventos(Completo)","",6
"343","Current and Voltage Harmonic Content of Artificially Generated Electrical Arc in Out-Door Experiment","Trabalho publicado em anais de eventos(Completo)","",6
"344","Avaliação do comprimento de arcos elétricos gerados artificialmente através de técnicas de visão computacional","Trabalho publicado em anais de eventos(Completo)","",6
"359","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Participação em banca de trabalhos de conclusão(Mestrado)","",6
"368","Análise da Utilização de Linhas de Transmissão Semelhantes no Ensaio de Energização de Linha de um Pouco Mais de Meio Comprimento de Onda","Trabalho publicado em anais de eventos(Completo)","",6
"369","Maximização da Potência Característica de Linhas de Transmissão","Trabalho publicado em anais de eventos(Completo)","",6
"371","Sustained response of unbalanced electric system represented through three-phase two-port networks","Trabalho publicado em anais de eventos(Completo)","",6
"378","Sistema barateia transporte de energia elétrica","Jornal de notícias","",6
"381","Sistema barateia transporte de energia elétrica","Jornal de notícias","",6
"384","Programa Panorama Ciência -","Outra produção bibliográfica","",6
"388","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","Produção Tecnica","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES",6
"391","OTIMIZAÇÃO DE LINHA TRANSMISSÃO PARA MANOBRA DE ABERTURA MONOPOLAR - ANÁLISE DA INFLUÊNCIA DOS PARÂMETROS TRANSVERSAIS DO SISTEMA DE COMPENSAÇÃO REATIVA","Participação em banca de trabalhos de conclusão(Doutorado)","",6
"281","Conceitos Fundamentais da Transmissão em um Pouco mais de Meio Comprimento de Onda","Participações em eventos(Seminário)","",7
"302","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",7
"303","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","Trabalho publicado em anais de eventos(Completo)","",7
"317","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Participações em eventos(Congresso)","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines",7
"328","Analysis of the Energization Test of a 2600-km Long AC-Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",7
"329","Attending Small Loads along a Half-Wavelength Transmission Line","Participações em eventos(Congresso)","",7
"342","Attending Small Loads along a Half-Wavelength Transmission Line","Trabalho publicado em anais de eventos(Completo)","",7
"359","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Participação em banca de trabalhos de conclusão(Mestrado)","",7
"368","Análise da Utilização de Linhas de Transmissão Semelhantes no Ensaio de Energização de Linha de um Pouco Mais de Meio Comprimento de Onda","Trabalho publicado em anais de eventos(Completo)","",7
"370","Análise da Utilização de Linhas de Transmissão Semelhantes no Ensaio de Energização de Linha de um Pouco Mais de Meio Comprimento de Onda","Participações em eventos(Congresso)","",7
"378","Sistema barateia transporte de energia elétrica","Jornal de notícias","",7
"381","Sistema barateia transporte de energia elétrica","Jornal de notícias","",7
"382","Sistema barateia transporte de energia elétrica","Jornal de notícias","",7
"384","Programa Panorama Ciência -","Outra produção bibliográfica","",7
"216","Modelagem de Arco no Ar - Aplicações em Sistemas de Potência","Participação em banca de trabalhos de conclusão(Exame de	qualificação de doutorado)","",8
"236","Sensitivity Analysis of Secondary Arc Current for Different Transmission Systems Maneuver","Trabalho publicado em anais de eventos(Completo)","Sensitivity Analysis of Secondary Arc Current for Different Transmission Systems Maneuver",8
"240","Single-phase autoreclosure studies: secondary arc model research including a 500kV line experimental circuit","Trabalho publicado em anais de eventos(Completo)","",8
"241","Single-Phase Auto-Reclosure Studies: Some Basic Aspects on Main Elements Representation","Trabalho publicado em anais de eventos(Completo)","",8
"242","Single-phase autoreclosure studies considering a robust and reliable secondary arc model based on a gray-box model","Trabalho publicado em anais de eventos(Completo)","",8
"248","RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO","Participação em banca de trabalhos de conclusão(Mestrado)","",8
"253","Adaptative Single-Phase Autoreclosing Based on Harmonic Signature of the Secondary Arc Voltage","Trabalho publicado em anais de eventos(Completo)","",8
"254","Secondary Arc Harmonic Content for Various Current Levels Based on Field Tests","Trabalho publicado em anais de eventos(Completo)","",8
"258","Identificação dos parâmetros do arco elétrico através de estimação dual estados/parâmetros","Participação em banca de trabalhos de conclusão(Doutorado)","",8
"268","Religamento Monopolar Adaptativo Baseado Na Assinatura Harmônica Da Tensão De Arco Secundário","Trabalho publicado em anais de eventos(Completo)","",8
"270","Estudos De Religamento Monofásico - Pesquisa E Desenvolvimento De Modelo Do Arco Secundário","Trabalho publicado em anais de eventos(Completo)","",8
"286","Conteúdo Harmônico Da Corrente E Tensão De Arcos Elétricos Gerados Artificialmente Em Ambiente Não Confinado","Trabalho publicado em anais de eventos(Completo)","",8
"293","Modelagem de Arco no Ar - Aplicações em Sistemas de Potência","Participação em banca de trabalhos de conclusão(Doutorado)","",8
"295","Using 3D-Snake for Measuring the Length of Artificially Generated Electric Arcs","Trabalho publicado em anais de eventos(Completo)","",8
"296","A Metric for Evaluating the 3D Reconstruction of the Length of Artificially Generated Electric Arcs","Trabalho publicado em anais de eventos(Completo)","",8
"297","Análise do desempenho transitório de linhas aéreas de transmissão com a representação da dependência dos parâmetros do solo com a frequência","Trabalho publicado em anais de eventos(Completo)","",8
"311","Current and Voltage Harmonic Content of Artificially Generated Electrical Arc in Out-Door Experiment","Apresentação de trabalho(Congresso)","",8
"315","Estimation of Length Variation of Artificially Generated Electrical Arc in Out-Door Experiment","Trabalho publicado em anais de eventos(Completo)","",8
